Character,Book,Page,Chapter No,Chapter Name,POV,Title,Forename,Surname,OldSurname,Alias,RegnalNo,Gender,AliveStatus
"Eddison Tollett, Dolorous Edd",A Clash of Kings,186,13,Jon II,Jon Snow,,Eddison,Tollett,,Dolorous Edd,,M,A
Jarman Buckwell,A Clash of Kings,187,13,Jon II,Jon Snow,,Jarman,Buckwell,,,,M,D
Ser Mallador Locke,A Clash of Kings,188,13,Jon II,Jon Snow,Ser,Mallador,Locke,,,,M,D
"Bedwyck, Giant",A Clash of Kings,188,13,Jon II,Jon Snow,,Bedwyck,,,Giant,,M,A
Ser Ottyn Wythers,A Clash of Kings,188,13,Jon II,Jon Snow,Ser,Ottyn,Wythers,,,,M,D
Woth,A Clash of Kings,192,14,Arya IV,Arya Stark,,Woth,,,,,M,D
Gerren,A Clash of Kings,192,14,Arya IV,Arya Stark,,Gerren,,,,,M,D
Rey,A Clash of Kings,194,14,Arya IV,Arya Stark,,Rey,,,,,M,U
Urreg,A Clash of Kings,201,14,Arya IV,Arya Stark,,Urreg,,,,,M,D
Qyle,A Clash of Kings,203,14,Arya IV,Arya Stark,,Qyle,,,,,M,D
Maester Frenken,A Clash of Kings,207,15,Tyrion III,Tyrion Lannister,Maester,Frenken,,,,,M,A
Ironbelly,A Clash of Kings,212,15,Tyrion III,Tyrion Lannister,,Ironbelly,,,,,M,A
"Salloreon, Master Armorer",A Clash of Kings,213,15,Tyrion III,Tyrion Lannister,,Salloreon,,,Master Armorer,,M,U
Alayaya,A Clash of Kings,216,15,Tyrion III,Tyrion Lannister,,Alayaya,,,,,F,A
Poxy Tym,A Clash of Kings,226,16,Bran II,Bran Stark,,Poxy Tym,,,,,M,D
Lady Donella Hornwood,A Clash of Kings,227,16,Bran II,Bran Stark,Lady,Donella,Hornwood,,,,F,D
Domeric Bolton,A Clash of Kings,228,16,Bran II,Bran Stark,,Domeric,Bolton,,,,M,D
"Heke, Reek",A Clash of Kings,228,16,Bran II,Bran Stark,,Heke,,,Reek,,M,D
"Mors Umber, Crowfood",A Clash of Kings,228,16,Bran II,Bran Stark,,Mors,Umber,,Crowfood,,M,A
"Hother Umber, Whoresbane",A Clash of Kings,232,16,Bran II,Bran Stark,,Hother,Umber,,Whoresbane,,M,A
Larence Snow,A Clash of Kings,233,16,Bran II,Bran Stark,,Larence,Snow,,,,M,A
Leobald Tallhart,A Clash of Kings,233,16,Bran II,Bran Stark,,Leobald,Tallhart,,,,M,D
Benfred Tallhart,A Clash of Kings,234,16,Bran II,Bran Stark,,Benfred,Tallhart,,,,M,D
Beren Tallhart,A Clash of Kings,234,16,Bran II,Bran Stark,,Beren,Tallhart,,,,M,A
Lord Ondrew Locke,A Clash of Kings,235,16,Bran II,Bran Stark,Lord,Ondrew,Locke,,,,M,A
Lady Lyessa Flint,A Clash of Kings,235,16,Bran II,Bran Stark,Lady,Lyessa,Flint,,,,F,A
Cley Cerwyn,A Clash of Kings,235,16,Bran II,Bran Stark,,Cley,Cerwyn,,,,M,D
"Ser Tallad, The Tall",A Clash of Kings,241,17,Tyrion IV,Tyrion Lannister,Ser,Tallad,,,The Tall,,M,A
"Wisdom Hallyne, The Pyromancer",A Clash of Kings,243,17,Tyrion IV,Tyrion Lannister,Wisdom,Hallyne,,,The Pyromancer,,M,A
Weasel,A Clash of Kings,265,19,Arya V,Arya Stark,,Weasel,,,,,F,U
Munciter,A Clash of Kings,281,20,Tyrion V,Tyrion Lannister,,Munciter,,,,,M,A
Malliard,A Clash of Kings,281,20,Tyrion V,Tyrion Lannister,,Malliard,,,,,M,A
Lord Rossart,A Clash of Kings,282,20,Tyrion V,Tyrion Lannister,Lord,Rossart,,,,,M,A
"Crawn, Son of Calor",A Clash of Kings,288,20,Tyrion V,Tyrion Lannister,,Crawn,,,Son of Calor,,M,A
Calor,A Clash of Kings,288,20,Tyrion V,Tyrion Lannister,,Calor,,,,,M,U
Skittrick,A Clash of Kings,297,21,Bran III,Bran Stark,,Skittrick,,,,,M,U
Meera Reed,A Clash of Kings,297,21,Bran III,Bran Stark,,Meera,Reed,,,,F,A
Jojen Reed,A Clash of Kings,297,21,Bran III,Bran Stark,,Jojen,Reed,,,,M,A
Shadd,A Clash of Kings,302,21,Bran III,Bran Stark,,Shadd,,,,,M,U
"Ser Colen, Of Greenpools",A Clash of Kings,306,22,Catelyn II,Catelyn Tully,Ser,Colen,,,Of Greenpools,,M,A
"Ser Ronnet Connington, Red Ronnet",A Clash of Kings,308,22,Catelyn II,Catelyn Tully,Ser,Ronnet,Connington,,Red Ronnet,,M,A
"Brienne Tarth, The Beauty/The Blue/Of Tarth",A Clash of Kings,311,22,Catelyn II,Catelyn Tully,,Brienne,Tarth,,The Beauty/The Blue/Of Tarth,,F,A
"Lord Selwyn Tarth, The Evenstar",A Clash of Kings,311,22,Catelyn II,Catelyn Tully,Lord,Selwyn,Tarth,,The Evenstar,,M,A
Lord Lorent Caswell,A Clash of Kings,313,22,Catelyn II,Catelyn Tully,Lord,Lorent,Caswell,,,,M,A
Lucas Blackwood,A Clash of Kings,314,22,Catelyn II,Catelyn Tully,,Lucas,Blackwood,,,,M,D
Lord Willum,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Lord,?,Willum,,,,M,A
Josua Willum,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,,Josua,Willum,,,,M,A
Elyas Willum,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,,Elyas,Willum,,,,M,A
Lord Steffon Varner,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Lord,Steffon,Varner,,,,M,A
"Ser Guyard Morrigen, The Green",A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Ser,Guyard,Morrigen,,The Green,,M,D
Ser Mark Mullendore,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Ser,Mark,Mullendore,,,,M,A
Ser Tanton Fossoway,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Ser,Tanton,Fossoway,,,,M,A
Ser Cortnay Penrose,A Clash of Kings,320,22,Catelyn II,Catelyn Tully,Ser,Cortnay,Penrose,,,,M,D
Craster,A Clash of Kings,321,23,Jon III,Jon Snow,,Craster,,,,,M,D
"Lark, The Sisterman",A Clash of Kings,331,23,Jon III,Jon Snow,,Lark,,,The Sisterman,,M,D
Gilly,A Clash of Kings,335,23,Jon III,Jon Snow,,Gilly,,,,,F,A
Nella,A Clash of Kings,335,23,Jon III,Jon Snow,,Nella,,,,,F,U
"Bernarr, Brown Bernarr",A Clash of Kings,336,23,Jon III,Jon Snow,,Bernarr,,,Brown Bernarr,,M,D
King Raymun Redbeard,A Clash of Kings,340,23,Jon III,Jon Snow,King,Raymun,Redbeard,,,,M,D
"King Bael, The Bard",A Clash of Kings,340,23,Jon III,Jon Snow,King,Bael,,,The Bard,,M,F
King Gendel,A Clash of Kings,340,23,Jon III,Jon Snow,King,Gendel,,,,,M,F
King Gorne,A Clash of Kings,340,23,Jon III,Jon Snow,King,Gorne,,,,,M,F
Joramun,A Clash of Kings,340,23,Jon III,Jon Snow,,Joramun,,,,,M,F
Esgred,A Clash of Kings,343,24,Theon II,Theon Greyjoy,,Esgred,,,,,F,A
"Sigrin, The Shipwright",A Clash of Kings,343,24,Theon II,Theon Greyjoy,,Sigrin,,,The Shipwright,,M,A
Otter Gimpknee,A Clash of Kings,346,24,Theon II,Theon Greyjoy,,Otter,Gimpknee,,,,M,A
Bluetooth,A Clash of Kings,346,24,Theon II,Theon Greyjoy,,Bluetooth,,,,,M,A
Rymolf Stormdrunk,A Clash of Kings,347,24,Theon II,Theon Greyjoy,,Rymolf,Stormdrunk,,,,M,A
Uller,A Clash of Kings,347,24,Theon II,Theon Greyjoy,,Uller,,,,,M,A
"Qarl, The Maid",A Clash of Kings,347,24,Theon II,Theon Greyjoy,,Qarl,,,The Maid,,M,A
Skyte,A Clash of Kings,347,24,Theon II,Theon Greyjoy,,Skyte,,,,,M,A
Eldiss,A Clash of Kings,347,24,Theon II,Theon Greyjoy,,Eldiss,,,,,M,D
Wex Pyke,A Clash of Kings,348,24,Theon II,Theon Greyjoy,,Wex,Pyke,,,,M,A
Rolfe,A Clash of Kings,355,24,Theon II,Theon Greyjoy,,Rolfe,,,,,M,A
Ser Donnel Locke,A Clash of Kings,364,25,Tyrion VI,Tyrion Lannister,Ser,Donnel,Locke,,,,M,D
The Tickler,A Clash of Kings,375,26,Arya VI,Arya Stark,,?,,,The Tickler,,M,D
Chiswyck,A Clash of Kings,376,26,Arya VI,Arya Stark,,Chiswyck,,,,,M,D
"Rafford, Raff the Sweetling",A Clash of Kings,377,26,Arya VI,Arya Stark,,Rafford,,,Raff the Sweetling,,M,D
Shitmouth,A Clash of Kings,378,26,Arya VI,Arya Stark,,?,,,Shitmouth,,M,A
Dunsen,A Clash of Kings,378,26,Arya VI,Arya Stark,,Dunsen,,,,,M,A
Goodwife Amabel,A Clash of Kings,380,26,Arya VI,Arya Stark,Goodwife,Amabel,,,,,F,U
Goodwife Harra,A Clash of Kings,380,26,Arya VI,Arya Stark,Goodwife,Harra,,,,,F,A
Weese,A Clash of Kings,381,26,Arya VI,Arya Stark,,Weese,,,,,M,D
"Saathos, The Wise",A Clash of Kings,383,27,Daenerys II,Daenerys Targaryen,,Saathos,,,The Wise,,M,F
Captain Quhuru Mo,A Clash of Kings,389,27,Daenerys II,Daenerys Targaryen,Captain,Quhuru,Mo,,,,M,A
Dancy,A Clash of Kings,408,29,Tyrion VII,Tyrion Lannister,,Dancy,,,,,F,A
Marei,A Clash of Kings,409,29,Tyrion VII,Tyrion Lannister,,Marei,,,,,F,A
"Pia, Pretty Pia",A Clash of Kings,415,30,Arya VII,Arya Stark,,Pia,,,Pretty Pia,,F,A
Ser Alyn Stackspear,A Clash of Kings,415,30,Arya VII,Arya Stark,Ser,Alyn,Stackspear,,,,M,A
"Wat, Whitesmile Wat",A Clash of Kings,415,30,Arya VII,Arya Stark,,Wat,,,Whitesmile Wat,,M,A
Ser Dunaver,A Clash of Kings,415,30,Arya VII,Arya Stark,Ser,Dunaver,,,,,M,A
Jodge,A Clash of Kings,415,30,Arya VII,Arya Stark,,Jodge,,,,,M,A
Maester Tothmure,A Clash of Kings,416,30,Arya VII,Arya Stark,Maester,Tothmure,,,,,M,D
Joss Stilwood,A Clash of Kings,423,30,Arya VII,Arya Stark,,Joss,Stilwood,,,,M,
Eggon,A Clash of Kings,423,30,Arya VII,Arya Stark,,Eggon,,,,,M,
Layna,A Clash of Kings,423,30,Arya VII,Arya Stark,,Layna,,,,,F,
Tobbot,A Clash of Kings,424,30,Arya VII,Arya Stark,,Tobbot,,,,,M,
King Durran Godsgrief,A Clash of Kings,426,31,Catelyn III,Catelyn Tully,King,Durran,Godsgrief,,,,M,
Elenei,A Clash of Kings,426,31,Catelyn III,Catelyn Tully,,Elenei,,,,,F,
Ser Rubert Brax,A Clash of Kings,445,32,Sansa III,Sansa Stark,Ser,Rubert,Brax,,,,M,
Ser Lymond Vikary,A Clash of Kings,446,32,Sansa III,Sansa Stark,Ser,Lymond,Vikary,,,,M,
Lord Antario Jast,A Clash of Kings,446,32,Sansa III,Sansa Stark,Lord,Antario,Jast,,,,M,
Septon Osmynd,A Clash of Kings,446,32,Sansa III,Sansa Stark,Septon,Osmynd,,,,,M,
"Ser Parmen Crane, The Purple",A Clash of Kings,452,33,Catelyn IV,Catelyn Tully,Ser,Parmen,Crane,,The Purple,,M,
"Ser Emmon Cuy, The Yellow",A Clash of Kings,452,33,Catelyn IV,Catelyn Tully,Ser,Emmon,Cuy,,The Yellow,,M,
Ser Gawen Wylde,A Clash of Kings,453,33,Catelyn IV,Catelyn Tully,Ser,Gawen,Wylde,,,,M,
Lord Alester Florent,A Clash of Kings,478,36,Tyrion VIII,Tyrion Lannister,Lord,Alester,Florent,,,,M,D
Stygg,A Clash of Kings,485,37,Theon III,Theon Greyjoy,,Stygg,,,,,M,
Werlag,A Clash of Kings,485,37,Theon III,Theon Greyjoy,,Werlag,,,,,M,
Tymor,A Clash of Kings,486,37,Theon III,Theon Greyjoy,,Tymor,,,,,M,
Urzen,A Clash of Kings,486,37,Theon III,Theon Greyjoy,,Urzen,,,,,M,
"Lorren, Black Lorren",A Clash of Kings,486,37,Theon III,Theon Greyjoy,,Lorren,,,Black Lorren,,M,D
Gevin Harlaw,A Clash of Kings,486,37,Theon III,Theon Greyjoy,,Gevin,Harlaw,,,,M,
"Maron Botley, Old Botley/Fishwhiskers",A Clash of Kings,486,37,Theon III,Theon Greyjoy,,Maron,Botley,,Old Botley/Fishwhiskers,,M,
Todric,A Clash of Kings,486,37,Theon III,Theon Greyjoy,,Todric,,,,,M,
"Andrik, The Unsmiling",A Clash of Kings,490,37,Theon III,Theon Greyjoy,,Andrik,,,The Unsmiling,,M,
Lord Dunstan Drumm,A Clash of Kings,490,37,Theon III,Theon Greyjoy,Lord,Dunstan,Drumm,,,,M,
Lucan,A Clash of Kings,496,38,Arya VIII,Arya Stark,,Lucan,,,,,M,
Ser Lyonel,A Clash of Kings,496,38,Arya VIII,Arya Stark,Ser,Lyonel,,,,,M,
Tuffleberry,A Clash of Kings,496,38,Arya VIII,Arya Stark,,Tuffleberry,,,,,M,
"Rymund, The Rhymer",A Clash of Kings,504,39,Catelyn V,Catelyn Tully,,Rymund,,,The Rhymer,,M,
Enger,A Clash of Kings,511,39,Catelyn V,Catelyn Tully,,Enger,,,,,M,
Delp,A Clash of Kings,511,39,Catelyn V,Catelyn Tully,,Delp,,,,,M,D
"Lew, Long Lew",A Clash of Kings,511,39,Catelyn V,Catelyn Tully,,Lew,,,Long Lew,,M,
Poul Pemford,A Clash of Kings,511,39,Catelyn V,Catelyn Tully,,Poul,Pemford,,,,M,
Myles,A Clash of Kings,511,39,Catelyn V,Catelyn Tully,,Myles,,,,,M,
Mathos Mallarawan,A Clash of Kings,520,40,Daenerys III,Daenerys Targaryen,,Mathos,Mallarawan,,,,M,
Wendello Qar Deeth,A Clash of Kings,520,40,Daenerys III,Daenerys Targaryen,,Wendello,Qar Deeth,,,,M,
"Egon Emeros, The Exquisite",A Clash of Kings,520,40,Daenerys III,Daenerys Targaryen,,Egon,Emeros,,The Exquisite,,M,
Ser Osmund Kettleblack,A Clash of Kings,533,41,Tyrion IX,Tyrion Lannister,Ser,Osmund,Kettleblack,,,,M,
Osney Kettleblack,A Clash of Kings,533,41,Tyrion IX,Tyrion Lannister,,Osney,Kettleblack,,,,M,
Osfryd Kettleblack,A Clash of Kings,533,41,Tyrion IX,Tyrion Lannister,,Osfryd,Kettleblack,,,,M,
Ser Bryan Fossoway,A Clash of Kings,547,42,Davos II,Davos Seaworth,Ser,Bryan,Fossoway,,,,M,
Lord Eldon Estermont,A Clash of Kings,550,42,Davos II,Davos Seaworth,Lord,Eldon,Estermont,,,,M,
Ser Erren Florent,A Clash of Kings,556,42,Davos II,Davos Seaworth,Ser,Erren,Florent,,,,M,
Lord Elwood Meadows,A Clash of Kings,557,42,Davos II,Davos Seaworth,Lord,Elwood,Meadows,,,,M,
Rattleshirt,A Clash of Kings,565,43,Jon V,Jon Snow,,Rattleshirt,,,,,M,D
"Harma, The Dogshead",A Clash of Kings,565,43,Jon V,Jon Snow,,Harma,,,The Dogshead,,F,D
"Alfyn, Crowkiller",A Clash of Kings,565,43,Jon V,Jon Snow,,Alfyn,,,Crowkiller,,M,
The Weeping Man,A Clash of Kings,569,43,Jon V,Jon Snow,,?,,,The Weeping Man,,M,
Ebben,A Clash of Kings,569,43,Jon V,Jon Snow,,Ebben,,,,,M,D
"Symon, Silver Tongue",A Clash of Kings,575,44,Tyrion X,Tyrion Lannister,,Symon,,,Silver Tongue,,M,
Maester Kym,A Clash of Kings,588,45,Catelyn VI,Catelyn Tully,Maester,Kym,,,,,M,
Lord Deremond,A Clash of Kings,588,45,Catelyn VI,Catelyn Tully,Lord,?,Deremond,,,,M,
"Mebble, Pinkeye",A Clash of Kings,609,47,Arya IX,Arya Stark,,Mebble,,,Pinkeye,,M,
Ser Aenys Frey,A Clash of Kings,611,47,Arya IX,Arya Stark,Ser,Aenys,Frey,,,,M,
Ser Cadwyn,A Clash of Kings,611,47,Arya IX,Arya Stark,Ser,Cadwyn,,,,,M,
"Ben, Blackthumb",A Clash of Kings,614,47,Arya IX,Arya Stark,,Ben,,,Blackthumb,,M,
"Shagwell, The Fool",A Clash of Kings,625,47,Arya IX,Arya Stark,,Shagwell,,,The Fool,,M,
Holger,A Clash of Kings,640,49,Tyrion XI,Tyrion Lannister,,Holger,,,,,M,
Wisdom Pollitor,A Clash of Kings,646,49,Tyrion XI,Tyrion Lannister,Wisdom,Pollitor,,,,,M,
Drennen,A Clash of Kings,652,50,Theon IV,Theon Greyjoy,,Drennen,,,,,M,
Squint,A Clash of Kings,652,50,Theon IV,Theon Greyjoy,,Squint,,,,,M,D
Aggar,A Clash of Kings,654,50,Theon IV,Theon Greyjoy,,Aggar,,,,,M,D
"Gynir, Rednose",A Clash of Kings,656,50,Theon IV,Theon Greyjoy,,Gynir,,,Rednose,,M,D
"Dalbridge, Squire Dalbridge",A Clash of Kings,665,51,Jon VI,Jon Snow,,Dalbridge,,,Squire Dalbridge,,M,D
Stonesnake,A Clash of Kings,665,51,Jon VI,Jon Snow,,Stonesnake,,,,,M,
Ygritte,A Clash of Kings,671,51,Jon VI,Jon Snow,,Ygritte,,,,,F,D
"Lord Brandon Stark, The Daughterless",A Clash of Kings,674,51,Jon VI,Jon Snow,Lord,Brandon,Stark,,The Daughterless,,M,
Jeffory Mallister,A Clash of Kings,721,55,Catelyn VII,Catelyn Tully,,Jeffory,Mallister,,,,M,
Kyle Royce,A Clash of Kings,721,55,Catelyn VII,Catelyn Tully,,Kyle,Royce,,,,M,
Elbert Arryn,A Clash of Kings,721,55,Catelyn VII,Catelyn Tully,,Elbert,Arryn,,,,M,
Kromm,A Clash of Kings,725,56,Theon V,Theon Greyjoy,,Kromm,,,,,M,
Cadwyl,A Clash of Kings,726,56,Theon V,Theon Greyjoy,,Cadwyl,,,,,M,
Ser Imry Florent,A Clash of Kings,740,58,Davos III,Davos Seaworth,Ser,Imry,Florent,,,,M,D
Ser Arneld,A Clash of Kings,758,59,Tyrion XIII,Tyrion Lannister,Ser,Arneld,,,,,M,
"Urrathon, Night-walker",A Clash of Kings,787,63,Daenerys V,Daenerys Targaryen,,Urrathon,,,Night-walker,,M,
"Sybassion, Eater of Eyes",A Clash of Kings,787,63,Daenerys V,Daenerys Targaryen,,Sybassion,,,Eater of Eyes,,M,
"Belwas, Strong Belwas",A Clash of Kings,796,63,Daenerys V,Daenerys Targaryen,,Belwas,,,Strong Belwas,,M,
"Walton, Steelshanks",A Clash of Kings,802,64,Arya X,Arya Stark,,Walton,,,Steelshanks,,M,
Septon Utt,A Clash of Kings,802,64,Arya X,Arya Stark,Septon,Utt,,,,,M,D
Qyburn,A Clash of Kings,802,64,Arya X,Arya Stark,,Qyburn,,,,,M,
"Urswyck, Faithful Urswyck",A Clash of Kings,802,64,Arya X,Arya Stark,,Urswyck,,,Faithful Urswyck,,M,
Ser Harys Haigh,A Clash of Kings,802,64,Arya X,Arya Stark,Ser,Harys,Haigh,,,,M,
Ser Philip Foote,A Clash of Kings,820,65,Sansa VIII,Sansa Stark,Ser,Philip,Foote,,,,M,
Ser Edwyd Fossoway,A Clash of Kings,820,65,Sansa VIII,Sansa Stark,Ser,Edwyd,Fossoway,,,,M,
Willit,A Clash of Kings,821,65,Sansa VIII,Sansa Stark,,Willit,,,,,M,
"Josmyn Peckledon, Peck",A Clash of Kings,821,65,Sansa VIII,Sansa Stark,,Josmyn,Peckledon,,Peck,,M,
"Ser Bonifer Hasty, The Good",A Clash of Kings,823,65,Sansa VIII,Sansa Stark,Ser,Bonifer,Hasty,,The Good,,M,
"Ser Dermot, Of the Rainwood",A Clash of Kings,823,65,Sansa VIII,Sansa Stark,Ser,Dermot,,,Of the Rainwood,,M,
"Ser Timon, The Scrapesword",A Clash of Kings,823,65,Sansa VIII,Sansa Stark,Ser,Timon,,,The Scrapesword,,M,
"Aurane Waters, Bastard of Driftmark",A Clash of Kings,823,65,Sansa VIII,Sansa Stark,,Aurane,Waters,,Bastard of Driftmark,,M,
Dykk Harlaw,A Clash of Kings,828,66,Theon VI,Theon Greyjoy,,Dykk,Harlaw,,,,M,
Endehar,A Clash of Kings,828,66,Theon VI,Theon Greyjoy,,Endehar,,,,,M,
"Rolfe, Red Rolfe",A Clash of Kings,829,66,Theon VI,Theon Greyjoy,,Rolfe,,,Red Rolfe,,M,D
"Harrag Sharp, Sheepstealer",A Clash of Kings,829,66,Theon VI,Theon Greyjoy,,Harrag,Sharp,,Sheepstealer,,M,
"Kenned, The Whale",A Clash of Kings,829,66,Theon VI,Theon Greyjoy,,Kenned,,,The Whale,,M,
"Ramsay Snow, The Bastard of Bolton",A Clash of Kings,838,66,Theon VI,Theon Greyjoy,,Ramsay,Snow,,The Bastard of Bolton,,M,
Maester Ballabar,A Clash of Kings,846,67,Tyrion XV,Tyrion Lannister,Maester,Ballabar,,,,,M,
Ragwyle,A Clash of Kings,859,68,Jon VIII,Jon Snow,,Ragwyle,,,,,M,
Lord Edwyle Stark,A Clash of Kings,865,69,Bran VII,Bran Stark,Lord,Edwyle,Stark,,,,M,
Lord Willam Stark,A Clash of Kings,865,69,Bran VII,Bran Stark,Lord,Willam,Stark,,,,M,
"Artos Stark, The Implacable",A Clash of Kings,865,69,Bran VII,Bran Stark,,Artos,Stark,,The Implacable,,M,
Lord Donnor Stark,A Clash of Kings,865,69,Bran VII,Bran Stark,Lord,Donnor,Stark,,,,M,
Lord Beron Stark,A Clash of Kings,865,69,Bran VII,Bran Stark,Lord,Beron,Stark,,,,M,
Lord Rodwell Stark,A Clash of Kings,865,69,Bran VII,Bran Stark,Lord,Rodwell,Stark,,,,M,
Lord Jonnel Stark,A Clash of Kings,865,69,Bran VII,Bran Stark,Lord,Jonnel,Stark,,,,M,
Lord Barth Stark,A Clash of Kings,865,69,Bran VII,Bran Stark,Lord,Barth,Stark,,,,M,
"King Edwyn Stark, The Spring King",A Clash of Kings,865,69,Bran VII,Bran Stark,King,Edwyn,Stark,,The Spring King,,M,
King Jorah Stark,A Clash of Kings,866,69,Bran VII,Bran Stark,King,Jorah,Stark,,,,M,
King Jonos Stark,A Clash of Kings,866,69,Bran VII,Bran Stark,King,Jonos,Stark,,,,M,
"King Brandon Stark, The Bad",A Clash of Kings,866,69,Bran VII,Bran Stark,King,Brandon,Stark,,The Bad,,M,
"King Walton Stark, The Moon King",A Clash of Kings,866,69,Bran VII,Bran Stark,King,Walton,Stark,,The Moon King,,M,
"King Edderion Stark, The Bridegroom",A Clash of Kings,866,69,Bran VII,Bran Stark,King,Edderion,Stark,,The Bridegroom,,M,
King Eyron Stark,A Clash of Kings,866,69,Bran VII,Bran Stark,King,Eyron,Stark,,,,M,
"King Benjen Stark, The Sweet",A Clash of Kings,866,69,Bran VII,Bran Stark,King,Benjen,Stark,,The Sweet,,M,
"King Benjen Stark, The Bitter",A Clash of Kings,866,69,Bran VII,Bran Stark,King,Benjen,Stark,,The Bitter,,M,
"King Edrick Stark, Snowbeard",A Clash of Kings,866,69,Bran VII,Bran Stark,King,Edrick,Stark,,Snowbeard,,M,
Ser Aemon Estermont,A Clash of Kings,880,70,Appendix,N/A,Ser,Aemon,Estermont,,,,M,
Ser Alyn Estermont,A Clash of Kings,880,70,Appendix,N/A,Ser,Alyn,Estermont,,,,M,
Lady Shyra Errol,A Clash of Kings,880,70,Appendix,N/A,Lady,Shyra,Errol,,,,F,
Ser Donnel Swann,A Clash of Kings,881,70,Appendix,N/A,Ser,Donnel,Swann,,,,M,
Maester Jurne,A Clash of Kings,881,70,Appendix,N/A,Maester,Jurne,,,,,M,
Ser Lomas Estermont,A Clash of Kings,882,70,Appendix,N/A,Ser,Lomas,Estermont,,,,M,
Ser Andrew Estermont,A Clash of Kings,882,70,Appendix,N/A,Ser,Andrew,Estermont,,,,M,
Stannis Seaworth,A Clash of Kings,883,70,Appendix,N/A,,Stannis,Seaworth,,,,M,
Steffon Seaworth,A Clash of Kings,883,70,Appendix,N/A,,Steffon,Seaworth,,,,M,
Lyman Darry,A Clash of Kings,887,70,Appendix,N/A,,Lyman,Darry,,,,M,
Ser Halmon Paege,A Clash of Kings,887,70,Appendix,N/A,Ser,Halmon,Paege,,,,M,
Berena Tallhart,A Clash of Kings,887,70,Appendix,N/A,,Berena,Tallhart,Hornwood,,,F,
Brandon Tallhart,A Clash of Kings,887,70,Appendix,N/A,,Brandon,Tallhart,,,,M,
Eddara Tallhart,A Clash of Kings,887,70,Appendix,N/A,,Eddara,Tallhart,,,,F,
Lady Sybelle Glover,A Clash of Kings,887,70,Appendix,N/A,Lady,Sybelle,Glover,,,,F,
Gawen Glover,A Clash of Kings,887,70,Appendix,N/A,,Gawen,Glover,,,,M,
Erena Glover,A Clash of Kings,887,70,Appendix,N/A,,Erena,Glover,,,,F,
"Ser Robert Brax, Brother of Flement",A Clash of Kings,894,70,Appendix,N/A,Ser,Robert,Brax,,Brother of Flement,,M,
Captain Igon Vyrwel,A Clash of Kings,896,70,Appendix,N/A,Captain,Igon,Vyrwel,,,,M,
Butterbumps,A Clash of Kings,896,70,Appendix,N/A,,Butterbumps,,,,,M,
Lady Melara Florent,A Clash of Kings,899,70,Appendix,N/A,Lady,Melara,Florent,Crane,,,F,
Alekyne Florent,A Clash of Kings,899,70,Appendix,N/A,,Alekyne,Florent,,,,M,
Lady Melessa Tarly,A Clash of Kings,899,70,Appendix,N/A,Lady,Melessa,Tarly,Florent,,,F,
Lady Rhea Hightower,A Clash of Kings,899,70,Appendix,N/A,Lady,Rhea,Hightower,Florent,,,F,
Ser Ryam Florent,A Clash of Kings,899,70,Appendix,N/A,Ser,Ryam,Florent,,,,M,
Ser Colin Florent,A Clash of Kings,899,70,Appendix,N/A,Ser,Colin,Florent,,,,M,
Ser Hosman Norcross,A Clash of Kings,899,70,Appendix,N/A,Ser,Hosman,Norcross,,,,M,
Alester Norcross,A Clash of Kings,899,70,Appendix,N/A,,Alester,Norcross,,,,M,
Renly Norcross,A Clash of Kings,899,70,Appendix,N/A,,Renly,Norcross,,,,M,
Maester Omer,A Clash of Kings,900,70,Appendix,N/A,Maester,Omer,,,,,M,
Merrell Florent,A Clash of Kings,900,70,Appendix,N/A,,Merrell,Florent,,,,M,
Rylene Crane,A Clash of Kings,900,70,Appendix,N/A,,Rylene,Crane,Florent,,,F,
Ser Rycherd Crane,A Clash of Kings,900,70,Appendix,N/A,Ser,Rycherd,Crane,,,,M,
Lord Waldon Wynch,A Clash of Kings,902,70,Appendix,N/A,Lord,Waldon,Wynch,,,,M,
"Lord Rodrik Harlaw, The Reader",A Clash of Kings,902,70,Appendix,N/A,Lord,Rodrik,Harlaw,,The Reader,,M,
"Lord Stonehouse, The Stonehouse",A Clash of Kings,902,70,Appendix,N/A,Lord,?,Stonehouse,,The Stonehouse,,M,
Lord Norne Goodbrother,A Clash of Kings,902,70,Appendix,N/A,Lord,Norne,Goodbrother,,,,M,
"Lord Meldred Merlyn, The Merlyn",A Clash of Kings,902,70,Appendix,N/A,Lord,Meldred,Merlyn,,The Merlyn,,M,
"Lord Sparr, The Sparr",A Clash of Kings,902,70,Appendix,N/A,Lord,?,Sparr,,The Sparr,,M,
Lord Baelor Blacktyde,A Clash of Kings,902,70,Appendix,N/A,Lord,Baelor,Blacktyde,,,,M,D
Lord Donnor Saltcliffe,A Clash of Kings,902,70,Appendix,N/A,Lord,Donnor,Saltcliffe,,,,M,
Lord Sunderly,A Clash of Kings,902,70,Appendix,N/A,Lord,?,Sunderly,,,,M,
